customer_id,age,income,account_type,tenure_months,location,has_credit_card,num_products,is_active_member,churn
CUST_000001,52,25867,Basic,5,Urban,0,2,1,1
CUST_000002,42,31171,Gold,62,Urban,1,2,1,0
CUST_000003,54,26938,Premium,17,Suburban,1,4,0,1
CUST_000004,67,38376,Premium,15,Suburban,1,1,1,0
CUST_000005,41,66077,Premium,133,Suburban,1,2,1,0
CUST_000006,41,24698,Basic,11,Urban,0,3,1,0
CUST_000007,68,59898,Basic,46,Urban,1,5,0,0
CUST_000008,56,24567,Premium,47,Suburban,1,1,0,1
CUST_000009,37,23770,Basic,6,Urban,0,3,1,0
CUST_000010,53,54682,Basic,2,Urban,1,4,1,0
CUST_000011,38,57582,Basic,89,Suburban,1,1,0,1
CUST_000012,38,55587,Basic,13,Urban,1,1,1,0
CUST_000013,48,18809,Premium,0,Rural,1,1,1,1
CUST_000014,16,28768,Basic,16,Urban,1,3,1,0
CUST_000015,19,54802,Premium,23,Urban,1,2,1,1
CUST_000016,36,37077,Premium,35,Urban,0,3,1,0
CUST_000017,29,21229,Basic,68,Suburban,1,0,1,1
CUST_000018,49,45668,Basic,59,Suburban,1,4,0,0
CUST_000019,31,25402,Basic,67,Suburban,0,8,0,1
CUST_000020,23,89077,Gold,0,Urban,1,7,1,1
CUST_000021,66,78623,Basic,29,Urban,1,2,1,0
CUST_000022,41,49121,Basic,6,Urban,1,2,0,0
CUST_000023,46,71718,Premium,4,Rural,1,4,1,1
CUST_000024,23,37511,Basic,38,Urban,1,1,1,1
CUST_000025,36,53248,Gold,12,Suburban,0,4,1,0
CUST_000026,46,76028,Premium,59,Rural,1,0,1,1
CUST_000027,27,41058,Basic,1,Urban,0,1,1,1
CUST_000028,50,31965,Premium,38,Suburban,0,4,1,0
CUST_000029,35,15485,Basic,3,Urban,0,4,1,0
CUST_000030,40,34836,Premium,4,Urban,1,2,1,0
CUST_000031,35,54814,Premium,15,Urban,1,1,1,1
CUST_000032,72,58268,Basic,12,Rural,1,4,1,0
CUST_000033,44,46731,Basic,15,Urban,1,2,1,0
CUST_000034,29,27704,Gold,67,Urban,1,1,1,0
CUST_000035,57,13515,Basic,25,Urban,1,2,1,0
CUST_000036,26,28350,Premium,8,Urban,0,2,1,0
CUST_000037,48,31189,Basic,4,Rural,0,7,0,1
CUST_000038,15,31055,Basic,13,Urban,0,3,1,0
CUST_000039,25,49477,Premium,14,Rural,0,0,1,0
CUST_000040,47,98011,Basic,22,Rural,1,3,0,1
CUST_000041,56,38629,Premium,7,Rural,1,5,1,0
CUST_000042,47,32585,Basic,35,Urban,0,0,0,0
CUST_000043,43,31900,Basic,2,Urban,1,1,1,1
CUST_000044,40,38645,Gold,19,Suburban,1,3,1,1
CUST_000045,22,24001,Basic,23,Urban,1,3,1,0
CUST_000046,34,38564,Gold,5,Suburban,1,2,1,0
CUST_000047,38,45497,Gold,41,Urban,1,2,1,0
CUST_000048,60,40329,Gold,22,Rural,1,2,1,0
CUST_000049,50,45650,Premium,24,Urban,1,6,0,0
CUST_000050,18,45110,Basic,16,Urban,1,4,1,0
CUST_000051,49,14973,Gold,57,Suburban,1,1,1,0
CUST_000052,39,49932,Basic,28,Urban,1,3,0,1
CUST_000053,34,25964,Basic,11,Urban,1,5,1,0
CUST_000054,54,20995,Basic,6,Urban,1,4,1,0
CUST_000055,60,20905,Basic,1,Urban,1,1,1,0
CUST_000056,58,45106,Premium,4,Urban,0,2,1,1
CUST_000057,32,32490,Basic,118,Urban,1,2,1,0
CUST_000058,40,15662,Basic,12,Urban,1,4,1,0
CUST_000059,49,46120,Basic,54,Urban,1,2,1,0
CUST_000060,59,17680,Basic,4,Urban,0,5,1,1
CUST_000061,37,38945,Premium,13,Suburban,1,4,1,0
CUST_000062,42,40914,Basic,77,Urban,1,4,1,0
CUST_000063,28,56544,Basic,2,Urban,1,3,1,0
CUST_000064,27,88507,Basic,21,Rural,1,1,1,1
CUST_000065,57,18355,Basic,60,Suburban,1,2,1,0
CUST_000066,65,35375,Basic,71,Urban,1,3,1,0
CUST_000067,43,31629,Basic,44,Rural,1,4,1,0
CUST_000068,60,45110,Basic,46,Suburban,1,3,1,0
CUST_000069,50,40450,Basic,25,Urban,1,2,1,0
